No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
308,IC 4033,13h00m28.3929s,+27d58m20.661s,195.1183039,27.9724059,0.0257344699445374,7714.99999999999,SLS,G,"IR,Vis",8.77433746059807,83,0,57,32,28,7,0,2,2,0
309,IC 4030,13h00m27.9651s,+27d57m21.529s,195.1165216,27.9559805,0.0233594935867266,7003.0,SLS,G,"IR,Vis",8.79445942752062,102,0,53,40,35,3,1,2,2,0
310,WISEA J130021.67+275354.7,13h00m21.6739s,+27d53m54.721s,195.0903083,27.8985337,0.016201,4856.937612058,UUN,G,"IR,UV,Vis",8.800852699078,57,0,59,28,19,6,0,1,2,0
311,WISEA J130012.34+280557.6,13h00m12.3454s,+28d05m57.694s,195.0514392,28.0993596,0.0259,7764.6246622,SLS,G,IR,8.8095566758346,6,0,37,4,2,4,0,0,0,0
312,WISEA J125915.60+275356.7,12h59m15.5809s,+27d53m56.886s,194.8149206,27.8991352,0.0177237,5313.4315878546,SLS,G,"IR,Vis",8.81450551707997,11,0,38,5,2,4,0,1,0,0
313,SDSS J130020.39+280413.9,13h00m20.3972s,+28d04m13.981s,195.0849887,28.0705504,0.0222999994,6685.37163352452,SUN,G,Vis,8.81696509021926,13,0,17,6,4,4,0,1,0,0
314,NGC 4865,12h59m19.8749s,+28d05m03.353s,194.8328122,28.0842649,0.0152738999191234,4579.0,SLS,G,"IR,Radio,UV,Vis,Xray",8.88287065444184,161,3,108,38,35,12,5,6,2,0
315,WISEA J125950.99+274958.5,12h59m50.9923s,+27d49m58.562s,194.9624681,27.832934,0.02634489223875,7897.99999999999,SLS,G,"IR,Radio,Vis",8.89813304383952,65,0,55,23,17,6,0,1,2,0
316,SMDG J1259088+275736,12h59m08.8070s,+27d57m35.620s,194.786695833333,27.9598944444444,0.0236697081952609,7096.00000000001,SUN,G,Vis,8.90320372598872,10,0,1,9,1,0,0,0,0,0
317,WISEA J125926.45+275124.7,12h59m26.4580s,+27d51m24.804s,194.8602417,27.8568902,0.0165606,4964.7429799548,SLS,G,"IR,Vis",8.92388741242829,25,0,45,11,6,4,0,1,1,0
318,IC 3976,12h59m29.3961s,+27d51m00.687s,194.872484,27.850191,0.0226423307820506,6788.00000000001,SLS,G,"IR,Radio,Vis,Xray",8.93433809244196,151,1,77,45,42,9,0,5,2,0
319,WISEA J125955.09+280742.0,12h59m55.0999s,+28d07m42.023s,194.9795829,28.1283399,0.0252307881607882,7563.99999999999,SLS,G,"IR,UV,Vis",8.95174835372841,113,2,57,32,33,7,6,4,2,0
320,DESI J194.9618+27.8310,12h59m50.8491s,+27d49m51.835s,194.9618714,27.8310653,0.0264857,7940.2131048506,SLS,G,,9.00837144335888,0,0,0,1,1,0,0,0,0,0
321,COMAi J130029.715+275806.73,13h00m29.7100s,+27d58m06.790s,195.12379166667,27.96855277778,0.017412,5219.986278696,UUN,G,,9.08088451504858,7,0,1,4,2,0,0,0,0,0
322,WISEA J125914.62+275344.1,12h59m14.6213s,+27d53m44.102s,194.8109223,27.8955839,0.0213747872202976,6408.0,SLS,G,"IR,Vis",9.10951457586818,44,0,54,16,12,4,0,1,1,1
323,SDSS J130029.38+275719.4,13h00m29.4000s,+27d57m19.821s,195.1225,27.955506,0.023406,7016.942271948,UUN,G,Vis,9.11153554730234,6,0,9,3,2,4,0,0,0,0
324,SDSS J125951.54+274946.3,12h59m51.5507s,+27d49m46.186s,194.9647948,27.8294961,0.0265999995,7974.47923290377,SUN,G,Vis,9.11172206070731,6,0,17,3,3,4,0,0,0,0
325,SDSS J130020.57+275300.3,13h00m20.5566s,+27d53m00.543s,195.0856527,27.8834842,0.0231568,6942.2339914144,SLS,G,Vis,9.1477703500611,5,0,9,3,1,0,0,1,0,0
326,SDSS J130015.72+280551.6,13h00m15.7248s,+28d05m51.432s,195.06552,28.09762,0.0172,5156.4302776,UUN,G,Vis,9.19063869858202,7,0,15,4,1,4,0,1,0,0
327,SDSS J130020.27+280453.2,13h00m20.2798s,+28d04m53.230s,195.084499442,28.0814528898,0.02711,8127.37353638,SLS,G,Vis,9.2103071804351,8,0,16,4,2,4,0,1,0,0
328,WISEA J125915.84+275310.0,12h59m15.8229s,+27d53m09.737s,194.8159291,27.8860381,0.0220276,6603.7083478408,SLS,G,"IR,Vis",9.23360985030855,7,0,36,4,2,4,0,1,0,0
329,COMAi J130030.879+275827.64,13h00m30.8928s,+27d58m27.948s,195.12872,27.97443,0.021065,6315.12812777,UUN,G,Vis,9.31935760181684,7,0,4,4,3,0,0,0,0,0
